simulation_tick_5min,hours_after_ignition,local_time_PDT,utc_time,observed_cumulative_burn_area_km2,observed_new_area_km2,observed_growth_from_previous_percent,observed_perimeter_km,GOFER_max_effective_spread_rate,GOFER_area_weighted_effective_spread_rate,relative_humidity_2m_percent_raw,humidity_input_for_current_code_percent_rounded_to_5,wind_speed_10m_kmh,meteorological_wind_from_degrees,spread_enhancement_toward_degrees,wind_direction_input_for_current_code
0,0,2021-08-15 00:00:00,2021-08-15 07:00:00,,,,,,,43.0,45,7.2,63.0,243.0,SW
12,1,2021-08-15 01:00:00,2021-08-15 08:00:00,0.9,0.9,,3.662,0.709,0.544,41.0,40,9.0,61.0,241.0,SW
24,2,2021-08-15 02:00:00,2021-08-15 09:00:00,0.9,0.0,0.0,3.662,0.0,0.0,38.0,40,8.9,63.0,243.0,SW
36,3,2021-08-15 03:00:00,2021-08-15 10:00:00,0.9,0.0,0.0,3.662,0.0,0.0,36.0,35,7.0,55.0,235.0,SW
48,4,2021-08-15 04:00:00,2021-08-15 11:00:00,0.9,0.0,0.0,3.662,0.0,0.0,35.0,35,9.4,50.0,230.0,SW
60,5,2021-08-15 05:00:00,2021-08-15 12:00:00,0.9,0.0,0.0,3.662,0.0,0.0,31.0,30,11.7,43.0,223.0,SW
72,6,2021-08-15 06:00:00,2021-08-15 13:00:00,0.9,0.0,0.0,3.662,0.0,0.0,30.0,30,11.7,45.0,225.0,SW
84,7,2021-08-15 07:00:00,2021-08-15 14:00:00,2.415,1.5150000000000001,168.33333333333331,5.736,0.485,0.414,28.0,30,9.4,43.0,223.0,SW
96,8,2021-08-15 08:00:00,2021-08-15 15:00:00,5.361,2.9459999999999997,121.98757763975152,8.462,1.366,0.624,23.0,25,8.8,351.0,171.0,S
108,9,2021-08-15 09:00:00,2021-08-15 16:00:00,5.573,0.21200000000000063,3.95448610333895,8.643,0.089,0.048,20.0,20,10.9,316.0,136.0,SE
120,10,2021-08-15 10:00:00,2021-08-15 17:00:00,7.848,2.2749999999999995,40.82181948681141,10.268,0.764,0.291,19.0,20,11.5,302.0,122.0,SE
132,11,2021-08-15 11:00:00,2021-08-15 18:00:00,7.848,0.0,0.0,10.268,0.0,0.0,19.0,20,10.4,290.0,110.0,E
144,12,2021-08-15 12:00:00,2021-08-15 19:00:00,7.848,0.0,0.0,10.268,0.0,0.0,19.0,20,9.9,280.0,100.0,E
156,13,2021-08-15 13:00:00,2021-08-15 20:00:00,7.848,0.0,0.0,10.268,0.0,0.0,19.0,20,11.3,277.0,97.0,E
168,14,2021-08-15 14:00:00,2021-08-15 21:00:00,9.388,1.54,19.62283384301733,11.297,0.571,0.225,20.0,20,12.3,277.0,97.0,E
180,15,2021-08-15 15:00:00,2021-08-15 22:00:00,10.048,0.6600000000000001,7.030251384746489,11.671,0.25,0.117,21.0,20,9.7,272.0,92.0,E
192,16,2021-08-15 16:00:00,2021-08-15 23:00:00,10.288,0.2400000000000002,2.3885350318471277,11.784,0.126,0.058,22.0,20,9.8,276.0,96.0,E
204,17,2021-08-15 17:00:00,2021-08-16 00:00:00,12.079,1.7910000000000004,17.40863141524107,12.64,0.476,0.289,22.0,20,10.9,279.0,99.0,E
216,18,2021-08-15 18:00:00,2021-08-16 01:00:00,12.079,0.0,0.0,12.64,0.0,0.0,24.0,25,10.9,279.0,99.0,E
228,19,2021-08-15 19:00:00,2021-08-16 02:00:00,12.079,0.0,0.0,12.64,0.0,0.0,27.0,25,6.9,276.0,96.0,E
240,20,2021-08-15 20:00:00,2021-08-16 03:00:00,14.126,2.046999999999999,16.94676711648315,13.838,0.734,0.304,34.0,35,5.7,252.0,72.0,E
252,21,2021-08-15 21:00:00,2021-08-16 04:00:00,14.443,0.31700000000000017,2.2440889140591835,13.999,0.09,0.032,35.0,35,4.0,80.0,260.0,W
264,22,2021-08-15 22:00:00,2021-08-16 05:00:00,14.443,0.0,0.0,13.999,0.0,0.0,42.0,40,8.3,72.0,252.0,W
276,23,2021-08-15 23:00:00,2021-08-16 06:00:00,14.443,0.0,0.0,13.999,0.0,0.0,43.0,45,5.7,72.0,252.0,W
288,24,2021-08-16 00:00:00,2021-08-16 07:00:00,14.443,0.0,0.0,13.999,0.0,0.0,44.0,45,1.9,68.0,248.0,W
